Eaf,Ealf,Eauxf,Eauxf_cs,Eauxf_fw,Eauxf_hs,Eauxf_ve,Eauxf_ww,Ecaf,Edataf,Ef,Ehs_lat_aux,Elf,Eprof,Eref,I_rad,I_sol,QCf,QEf,QHf,Qcdataf,Qcref,Qcs,Qcs_em_ls,Qcs_lat_sys,Qcs_sen,Qcs_sen_incl_em_ls,Qcs_sen_sys,Qcsf,Qcsf_lat,Qhprof,Qhs,Qhs_em_ls,Qhs_lat_sys,Qhs_sen,Qhs_sen_incl_em_ls,Qhs_sen_sys,Qhsf,Qhsf_lat,Qs,Qww,Qwwf,T_ext,T_sky,Ta_re_cs,Ta_re_hs,Ta_sup_cs,Ta_sup_hs,Tcdataf_re,Tcdataf_sup,Tcref_re,Tcref_sup,Tcsf_re,Tcsf_sup,Thsf_re,Thsf_sup,Twwf_re,Twwf_sup,m_ve_inf,m_ve_mech,m_ve_recirculation,m_ve_required,m_ve_window,ma_sup_cs,ma_sup_hs,mcpcsf,mcpdataf,mcphsf,mcpref,mcpwwf,people,rh_ext,system_status,ta_cs_set,ta_hs_set,theta_a,theta_c,theta_m,theta_o,theta_ve_mech,u_wind,ve,w_int
812.465,2382.402,5.038,0,0,2.702,0,2.336,0,0,2387.440,0,1569.937,0,0,644.348,-644.348,0,18181.028,15793.588,0,0,0,0,0,0,0,0,0,0,0,11525.767,1546.347,0,11525.767,13072.114,11525.767,13412.243,0,359.994,1634.505,2381.345,3.400,36.568,0,0,0,0,0,0,0,0,0,0,50.698,60.871,10,60,0.200,0,0,0.065,0.000,0,0,0,0,1318.446,0,47.627,5,71,Radiative heating,,20.502,20.502,18.219,17.457,18.927,3.400,2.400,185.140,0
1624.930,4764.805,4.885,0,0,2.702,0,2.183,0,0,4769.690,0,3139.875,0,0,628.048,-626.544,0,19228.383,14458.693,0,0,0,0,0,0,0,0,0,0,0,10649.212,1407.369,0,10649.212,12056.581,10649.212,12371.208,0,339.175,1427.310,2087.485,3.100,36.135,0,0,0,0,0,0,0,0,0,0,48.958,58.341,10,60,0.200,0,0,0.061,0.000,0,0,0,0,1318.446,0,41.750,4,69,Radiative heating,,20.502,20.502,18.204,17.427,18.917,3.100,0.500,174.433,0
968.684,2893.462,3.102,0,0,2.702,0,0.399,0,0,2896.563,0,1924.778,0,0,633.318,-576.152,0,18288.498,15391.934,0,0,0,0,0,0,0,0,0,0,0,11598.767,1540.542,0,11598.767,13139.309,11598.767,13481.856,0,318.356,1302.666,1910.078,3.200,36.247,0,0,0,0,0,0,0,0,0,0,50.813,61.039,10,60,0.200,0,0,0.057,0.000,0,0,0,0,1318.446,0,38.202,4,68,Radiative heating,,20.502,20.502,18.163,17.376,18.888,3.200,0.900,163.726,0
1176.976,3574.874,3.077,0,0,2.702,0,0.375,0,0,3577.950,0,2397.898,0,0,671.169,-479.465,0,18147.393,14569.442,0,0,0,0,0,0,0,0,0,0,0,11020.387,1540.956,0,11020.387,12561.342,11020.387,12885.620,0,387.535,1145.001,1683.823,4.200,37.108,0,0,0,0,0,0,0,0,0,0,49.823,59.596,10,60,0.199,0,0,0.070,0.000,0,0,0,0,1318.446,0,33.676,5,69,Radiative heating,,20.502,20.502,18.174,17.371,18.896,4.200,0.800,199.304,0
1176.976,3574.874,3.081,0,0,2.702,0,0.378,0,0,3577.954,0,2397.898,0,0,717.141,-482.332,0,17911.474,14333.520,0,0,0,0,0,0,0,0,0,0,0,10735.945,1567.344,0,10735.945,12303.288,10735.945,12618.396,0,456.714,1168.948,1715.124,5.000,38.195,0,0,0,0,0,0,0,0,0,0,49.375,58.946,10,60,0.199,0,0,0.082,0.000,0,0,0,0,1318.446,0,34.302,6,67,Radiative heating,,20.502,20.502,18.194,17.386,18.910,5.000,1.100,234.882,0
1729.076,5105.511,3.072,0,0,2.702,0,0.370,0,0,5108.583,0,3376.435,0,0,750.689,-637.624,0,18302.455,13193.872,0,0,0,0,0,0,0,0,0,0,0,9786.033,1477.504,0,9786.033,11263.536,9786.033,11550.292,0,456.714,1119.418,1643.580,5.600,38.986,0,0,0,0,0,0,0,0,0,0,47.558,56.318,10,60,0.198,0,0,0.082,0.000,0,0,0,0,1318.446,0,32.872,6,67,Radiative heating,,20.502,20.502,18.238,17.432,18.940,5.600,0.400,234.882,0
1624.930,4764.805,3.091,0,0,2.702,0,0.389,0,0,4767.896,0,3139.875,0,0,760.879,-749.519,0,18177.397,13409.501,0,0,0,0,0,0,0,0,0,0,0,9815.078,1498.969,0,9815.078,11314.047,9815.078,11601.512,0,408.354,1236.625,1807.989,5.800,39.263,0,0,0,0,0,0,0,0,0,0,47.646,56.445,10,60,0.198,0,0,0.073,0.000,0,0,0,0,1318.446,0,36.160,5,65,Radiative heating,,20.502,20.502,18.264,17.469,18.958,5.800,1.700,210.011,0
968.684,2893.462,3.090,0,0,2.702,0,0.388,0,0,2896.551,0,1924.778,0,0,766.583,-766.583,0,17214.810,14318.258,0,0,0,0,0,0,0,0,0,0,0,10579.456,1634.546,0,10579.456,12214.002,10579.456,12523.711,0,387.535,1227.552,1794.548,6.000,39.418,0,0,0,0,0,0,0,0,0,0,49.216,58.714,10,60,0.198,0,0,0.069,0.000,0,0,0,0,1318.446,0,35.891,5,64,Radiative heating,,20.502,20.502,18.265,17.479,18.959,6.000,2.200,199.304,0
1176.976,3574.874,3.044,0,0,2.702,0,0.342,0,0,3577.918,0,2397.898,0,0,771.791,-771.791,0,17062.773,13484.855,0,0,0,0,0,0,0,0,0,0,0,10199.240,1575.802,0,10199.240,11775.042,10199.240,12073.620,0,456.714,954.316,1411.235,6.000,39.538,0,0,0,0,0,0,0,0,0,0,48.454,57.611,10,60,0.198,0,0,0.081,0.000,0,0,0,0,1318.446,0,28.225,6,68,Radiative heating,,20.502,20.502,18.282,17.499,18.970,6.000,0.800,234.882,0
1176.976,3574.874,3.032,0,0,2.702,0,0.330,0,0,3577.906,0,2397.898,0,0,750.761,-750.761,0,17026.144,13448.238,0,0,0,0,0,0,0,0,0,0,0,10275.446,1551.396,0,10275.446,11826.842,10275.446,12127.938,0,456.714,888.276,1320.300,5.600,39.076,0,0,0,0,0,0,0,0,0,0,48.546,57.745,10,60,0.198,0,0,0.082,0.000,0,0,0,0,1318.446,0,26.406,6,71,Radiative heating,,20.502,20.502,18.284,17.508,18.971,5.600,1.600,234.882,0
